model,training_population,training_p_noise,training_opponent,training_history_length,training_memory_label,seed,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_partial_obs_vs_cycler_ddc_last1_seed3,,0.0,cycler_ddc,1,last1,3,hard_tft,100,200,0.0,last_n,1,125.0,0.0,0.625,0.39500000000000013,0.605
q_agent_partial_obs_vs_cycler_ddc_last1_seed3,,0.0,cycler_ddc,1,last1,3,cycler_ddc,100,200,0.0,last_n,1,464.0,0.0,2.32,0.0,1.0
q_agent_partial_obs_vs_cycler_ddc_last1_seed3,,0.0,cycler_ddc,1,last1,3,cycler_ccd,100,200,0.0,last_n,1,404.0,0.0,2.02,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last1_seed3,,0.0,cycler_ddc,1,last1,3,hard_majo,100,200,0.0,last_n,1,122.0,0.0,0.61,0.39000000000000007,0.6100000000000001
q_agent_partial_obs_vs_cycler_ddc_last1_seed3,,0.0,cycler_ddc,1,last1,3,soft_majo,100,200,0.0,last_n,1,130.0,0.0,0.65,0.39000000000000007,0.6100000000000001
q_agent_partial_obs_vs_cycler_ddc_last3_seed1,,0.0,cycler_ddc,3,last3,1,tftt,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last3_seed1,,0.0,cycler_ddc,3,last3,1,hard_tft,100,200,0.0,last_n,3,593.0,0.0,2.965,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last3_seed1,,0.0,cycler_ddc,3,last3,1,cycler_ddc,100,200,0.0,last_n,3,460.0,0.0,2.3,0.019999999999999997,0.9800000000000004
q_agent_partial_obs_vs_cycler_ddc_last3_seed1,,0.0,cycler_ddc,3,last3,1,cycler_ccd,100,200,0.0,last_n,3,404.0,0.0,2.02,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last3_seed1,,0.0,cycler_ddc,3,last3,1,hard_majo,100,200,0.0,last_n,3,582.0,0.0,2.91,0.9849999999999999,0.015
q_agent_partial_obs_vs_cycler_ddc_last3_seed1,,0.0,cycler_ddc,3,last3,1,soft_majo,100,200,0.0,last_n,3,599.0,0.0,2.995,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last3_seed2,,0.0,cycler_ddc,3,last3,2,tftt,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
