model,training_population,training_p_noise,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,soft_joss,100,200,0.2,last_n,3,443.78,22.87250751448122,2.2188999999999997,0.51305,0.48694999999999994
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,prober,100,200,0.2,last_n,3,418.13,75.54914360864721,2.09065,0.49224999999999997,0.50775
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,prober_3,100,200,0.2,last_n,3,394.18,92.8793173962858,1.9709,0.4845999999999999,0.5154000000000001
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_prober,100,200,0.2,last_n,3,419.12,75.38159987689303,2.0956,0.49,0.51
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,tft,100,200,0.0,last_n,3,495.0,0.0,2.475,0.5750000000000002,0.42499999999999977
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,mist,100,200,0.0,last_n,3,491.0,0.0,2.455,0.5750000000000002,0.42499999999999977
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,tftt,100,200,0.0,last_n,3,648.0,0.0,3.24,0.5750000000000002,0.42499999999999977
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_tft,100,200,0.0,last_n,3,160.0,0.0,0.8,0.22,0.7800000000000001
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,generous_tft,100,200,0.0,last_n,3,505.74,9.592309419529794,2.5287,0.53945,0.46055000000000007
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,alld,100,200,0.0,last_n,3,156.0,0.0,0.78,0.22,0.7800000000000001
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,soft_majo,100,200,0.0,last_n,3,160.0,0.0,0.8,0.22,0.7800000000000001
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_majo,100,200,0.0,last_n,3,156.0,0.0,0.78,0.22,0.7800000000000001
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,joss,100,200,0.0,last_n,3,430.81,19.171695282368745,2.15405,0.5178,0.48219999999999996
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,soft_joss,100,200,0.0,last_n,3,456.28,17.211089448376008,2.2813999999999997,0.53745,0.46255
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,prober,100,200,0.0,last_n,3,502.0,0.0,2.51,0.5900000000000001,0.4099999999999999
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,prober_3,100,200,0.0,last_n,3,498.0,0.0,2.49,0.585,0.4149999999999999
