model,training_population,training_p_noise,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_population_reciprocal_seed2,reciprocal,0.0,soft_joss,100,200,0.0,last_n,3,470.45,16.325669970938407,2.3522499999999997,0.5969000000000001,0.4031
q_agent_population_reciprocal_seed2,reciprocal,0.0,prober,100,200,0.0,last_n,3,501.0,0.0,2.505,0.6300000000000001,0.36999999999999994
q_agent_population_reciprocal_seed2,reciprocal,0.0,prober_3,100,200,0.0,last_n,3,145.0,0.0,0.725,0.29,0.7099999999999997
q_agent_population_reciprocal_seed2,reciprocal,0.0,hard_prober,100,200,0.0,last_n,3,145.0,0.0,0.725,0.30500000000000005,0.6949999999999998
q_agent_population_reciprocal_seed3,reciprocal,0.0,tft,100,200,0.0,last_n,3,492.0,0.0,2.46,0.585,0.4149999999999999
q_agent_population_reciprocal_seed3,reciprocal,0.0,mist,100,200,0.0,last_n,3,489.0,0.0,2.445,0.585,0.4149999999999999
q_agent_population_reciprocal_seed3,reciprocal,0.0,tftt,100,200,0.0,last_n,3,661.0,0.0,3.305,0.4900000000000002,0.5099999999999998
q_agent_population_reciprocal_seed3,reciprocal,0.0,hard_tft,100,200,0.0,last_n,3,214.0,0.0,1.07,0.38000000000000006,0.6199999999999999
q_agent_population_reciprocal_seed3,reciprocal,0.0,generous_tft,100,200,0.0,last_n,3,502.43,11.133961559121714,2.51215,0.5437500000000001,0.45625
q_agent_population_reciprocal_seed3,reciprocal,0.0,alld,100,200,0.0,last_n,3,131.0,0.0,0.655,0.34499999999999986,0.6550000000000001
q_agent_population_reciprocal_seed3,reciprocal,0.0,soft_majo,100,200,0.0,last_n,3,147.0,0.0,0.735,0.3400000000000001,0.66
q_agent_population_reciprocal_seed3,reciprocal,0.0,hard_majo,100,200,0.0,last_n,3,137.0,0.0,0.685,0.3350000000000001,0.6650000000000003
q_agent_population_reciprocal_seed3,reciprocal,0.0,joss,100,200,0.0,last_n,3,432.11,19.801967074005553,2.16055,0.5409499999999999,0.45905000000000007
q_agent_population_reciprocal_seed3,reciprocal,0.0,soft_joss,100,200,0.0,last_n,3,457.01,15.19308724387509,2.28505,0.5539999999999999,0.446
q_agent_population_reciprocal_seed3,reciprocal,0.0,prober,100,200,0.0,last_n,3,493.0,0.0,2.465,0.585,0.4149999999999999
q_agent_population_reciprocal_seed3,reciprocal,0.0,prober_3,100,200,0.0,last_n,3,489.0,0.0,2.445,0.585,0.4149999999999999
